year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_denominator,analysis_value
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1067,Henry County,ALABAMA,Urban,All,"undefined",39440
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,All,"undefined",44056
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1071,Jackson County,ALABAMA,Rural,All,"undefined",39972
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,All,"undefined",51663
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1075,Lamar County,ALABAMA,Rural,All,"undefined",36626
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1077,Lauderdale County,ALABAMA,Urban,All,"undefined",40428
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1079,Lawrence County,ALABAMA,Urban,All,"undefined",39938
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1081,Lee County,ALABAMA,Urban,All,"undefined",46113
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1083,Limestone County,ALABAMA,Urban,All,"undefined",34909
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1087,Macon County,ALABAMA,Rural,All,"undefined",47830
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,All,"undefined",39981
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1091,Marengo County,ALABAMA,Rural,All,"undefined",50228
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1093,Marion County,ALABAMA,Rural,All,"undefined",36436
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1095,Marshall County,ALABAMA,Rural,All,"undefined",44827
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,All,"undefined",44193
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,All,"undefined",43060
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1101,Montgomery County,ALABAMA,Urban,All,"undefined",48330
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1103,Morgan County,ALABAMA,Urban,All,"undefined",43121
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1105,Perry County,ALABAMA,Rural,All,"undefined",40518
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1107,Pickens County,ALABAMA,Rural,All,"undefined",57157
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1109,Pike County,ALABAMA,Rural,All,"undefined",36424
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1111,Randolph County,ALABAMA,Rural,All,"undefined",39209
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1113,Russell County,ALABAMA,Urban,All,"undefined",43031
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1115,St. Clair County,ALABAMA,Urban,All,"undefined",44279
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1117,Shelby County,ALABAMA,Urban,All,"undefined",45159
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1119,Sumter County,ALABAMA,Rural,All,"undefined",40577
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1121,Talladega County,ALABAMA,Rural,All,"undefined",46097
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1123,Tallapoosa County,ALABAMA,Rural,All,"undefined",43131
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,All,"undefined",51879
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1127,Walker County,ALABAMA,Urban,All,"undefined",50781
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1129,Washington County,ALABAMA,Rural,All,"undefined",36643
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1131,Wilcox County,ALABAMA,Rural,All,"undefined",39941
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1133,Winston County,ALABAMA,Rural,All,"undefined",40152
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,All,"undefined",62476
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,All,"undefined",61827
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,All,"undefined",68901
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,All,"undefined",78675
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,All,"undefined",59324
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4001,Apache County,ARIZONA,Rural,All,"undefined",66087
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4003,Cochise County,ARIZONA,Rural,All,"undefined",52742
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4005,Coconino County,ARIZONA,Urban,All,"undefined",61963
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4007,Gila County,ARIZONA,Rural,All,"undefined",54990
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4009,Graham County,ARIZONA,Rural,All,"undefined",53347
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4011,Greenlee County,ARIZONA,Rural,All,"undefined",62842
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4012,La Paz County,ARIZONA,Rural,All,"undefined",48427
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4013,Maricopa County,ARIZONA,Urban,All,"undefined",52248
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4015,Mohave County,ARIZONA,Urban,All,"undefined",54943
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4017,Navajo County,ARIZONA,Rural,All,"undefined",55950
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4019,Pima County,ARIZONA,Urban,All,"undefined",53962
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4021,Pinal County,ARIZONA,Urban,All,"undefined",54283
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4023,Santa Cruz County,ARIZONA,Rural,All,"undefined",61361
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4025,Yavapai County,ARIZONA,Urban,All,"undefined",47333
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,4027,Yuma County,ARIZONA,Urban,All,"undefined",55253
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5001,Arkansas County,ARKANSAS,Rural,All,"undefined",43728
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5003,Ashley County,ARKANSAS,Rural,All,"undefined",52195
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5005,Baxter County,ARKANSAS,Rural,All,"undefined",39318
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5007,Benton County,ARKANSAS,Urban,All,"undefined",46726
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5009,Boone County,ARKANSAS,Rural,All,"undefined",42066
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5011,Bradley County,ARKANSAS,Rural,All,"undefined",53087
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5015,Carroll County,ARKANSAS,Rural,All,"undefined",41284
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5017,Chicot County,ARKANSAS,Rural,All,"undefined",46086
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5019,Clark County,ARKANSAS,Rural,All,"undefined",35000
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5021,Clay County,ARKANSAS,Rural,All,"undefined",40946
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5023,Cleburne County,ARKANSAS,Rural,All,"undefined",35851
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5025,Cleveland County,ARKANSAS,Urban,All,"undefined",57748
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5027,Columbia County,ARKANSAS,Rural,All,"undefined",46915
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5029,Conway County,ARKANSAS,Rural,All,"undefined",50700
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5031,Craighead County,ARKANSAS,Urban,All,"undefined",45238
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5033,Crawford County,ARKANSAS,Urban,All,"undefined",40329
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5035,Crittenden County,ARKANSAS,Urban,All,"undefined",51107
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5037,Cross County,ARKANSAS,Rural,All,"undefined",41623
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5039,Dallas County,ARKANSAS,Rural,All,"undefined",40760
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5041,Desha County,ARKANSAS,Rural,All,"undefined",51688
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5043,Drew County,ARKANSAS,Rural,All,"undefined",47048
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5045,Faulkner County,ARKANSAS,Urban,All,"undefined",37477
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5047,Franklin County,ARKANSAS,Urban,All,"undefined",47691
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5049,Fulton County,ARKANSAS,Rural,All,"undefined",35334
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5051,Garland County,ARKANSAS,Urban,All,"undefined",44607
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5053,Grant County,ARKANSAS,Urban,All,"undefined",38082
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5055,Greene County,ARKANSAS,Rural,All,"undefined",40008
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5057,Hempstead County,ARKANSAS,Rural,All,"undefined",48036
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5059,Hot Spring County,ARKANSAS,Rural,All,"undefined",41667
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5061,Howard County,ARKANSAS,Rural,All,"undefined",48436
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5063,Independence County,ARKANSAS,Rural,All,"undefined",42817
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5065,Izard County,ARKANSAS,Rural,All,"undefined",49956
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5067,Jackson County,ARKANSAS,Rural,All,"undefined",73687
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5069,Jefferson County,ARKANSAS,Urban,All,"undefined",50538
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5071,Johnson County,ARKANSAS,Rural,All,"undefined",41983
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5073,Lafayette County,ARKANSAS,Rural,All,"undefined",58346
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5075,Lawrence County,ARKANSAS,Rural,All,"undefined",55813
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5077,Lee County,ARKANSAS,Rural,All,"undefined",36635
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5079,Lincoln County,ARKANSAS,Urban,All,"undefined",50385
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5081,Little River County,ARKANSAS,Rural,All,"undefined",42454
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5083,Logan County,ARKANSAS,Rural,All,"undefined",50623
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5085,Lonoke County,ARKANSAS,Urban,All,"undefined",39369
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5087,Madison County,ARKANSAS,Urban,All,"undefined",55547
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5089,Marion County,ARKANSAS,Rural,All,"undefined",47462
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5091,Miller County,ARKANSAS,Urban,All,"undefined",50836
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5093,Mississippi County,ARKANSAS,Rural,All,"undefined",56097
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5095,Monroe County,ARKANSAS,Rural,All,"undefined",36528
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5097,Montgomery County,ARKANSAS,Rural,All,"undefined",41825
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5099,Nevada County,ARKANSAS,Rural,All,"undefined",38187
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5101,Newton County,ARKANSAS,Rural,All,"undefined",41287
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5103,Ouachita County,ARKANSAS,Rural,All,"undefined",36894
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5105,Perry County,ARKANSAS,Urban,All,"undefined",33713
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5107,Phillips County,ARKANSAS,Rural,All,"undefined",46112
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5109,Pike County,ARKANSAS,Rural,All,"undefined",41919
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5111,Poinsett County,ARKANSAS,Urban,All,"undefined",43700
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5113,Polk County,ARKANSAS,Rural,All,"undefined",38488
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5115,Pope County,ARKANSAS,Rural,All,"undefined",38311
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5117,Prairie County,ARKANSAS,Rural,All,"undefined",45803
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5119,Pulaski County,ARKANSAS,Urban,All,"undefined",41415
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5121,Randolph County,ARKANSAS,Rural,All,"undefined",62614
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5123,St. Francis County,ARKANSAS,Rural,All,"undefined",49681
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5125,Saline County,ARKANSAS,Urban,All,"undefined",37929
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5127,Scott County,ARKANSAS,Rural,All,"undefined",36692
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5129,Searcy County,ARKANSAS,Rural,All,"undefined",43521
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5131,Sebastian County,ARKANSAS,Urban,All,"undefined",49365
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,5133,Sevier County,ARKANSAS,Rural,All,"undefined",57703
